2025-04-03 04:17:47.225986: Starting overnight training with the following parameters:
2025-04-03 04:17:47.225986: Total timesteps: 2000000
2025-04-03 04:17:47.226987: Learning rate: 0.0003
2025-04-03 04:17:47.226987: Batch size: 512
2025-04-03 04:17:47.227987: Buffer size: 200000
2025-04-03 04:17:47.227987: Exploration noise: 0.3
2025-04-03 04:17:47.228988: Models directory: ./ddpg_models/20250403_041747/
2025-04-03 04:17:47.228988: Log directory: ./ddpg_pyrace_tensorboard/20250403_041747/
2025-04-03 04:17:47.228988: Visualization enabled: True
2025-04-03 04:17:47.272002: Set view=True on RaceEnv
2025-04-03 04:17:48.148299: Loading checkpoint ./ddpg_models/ddpg_pyrace_v3_final.zip to continue training
2025-04-03 04:17:48.166305: 
Starting overnight training...
2025-04-03 04:17:48.166305: Visualization enabled. Press 'm' to toggle visualization mode, 'q' to quit.
2025-04-03 04:17:48.218323: Could not find PyRace2D object directly
2025-04-03 06:47:32.914096: Steps: 194000/2000000, FPS: 21.6, Time remaining: 23h 14m 9s
2025-04-03 06:48:19.653805: Steps: 195000/2000000, FPS: 21.6, Time remaining: 23h 13m 27s
2025-04-03 06:49:06.467123: Steps: 196000/2000000, FPS: 21.6, Time remaining: 23h 12m 45s
2025-04-03 06:49:53.282349: Steps: 197000/2000000, FPS: 21.6, Time remaining: 23h 12m 3s
2025-04-03 06:50:39.956029: Steps: 198000/2000000, FPS: 21.6, Time remaining: 23h 11m 20s
2025-04-03 06:51:26.739745: Steps: 199000/2000000, FPS: 21.6, Time remaining: 23h 10m 38s
2025-04-03 06:52:13.430001: Steps: 200000/2000000, FPS: 21.6, Time remaining: 23h 9m 55s
2025-04-03 06:53:00.341248: Steps: 201000/2000000, FPS: 21.6, Time remaining: 23h 9m 14s
2025-04-03 06:53:47.185980: Steps: 202000/2000000, FPS: 21.6, Time remaining: 23h 8m 32s
2025-04-03 06:54:33.999204: Steps: 203000/2000000, FPS: 21.6, Time remaining: 23h 7m 50s
2025-04-03 06:55:20.737487: Steps: 204000/2000000, FPS: 21.6, Time remaining: 23h 7m 7s
2025-04-03 06:56:07.404658: Steps: 205000/2000000, FPS: 21.6, Time remaining: 23h 6m 24s
2025-04-03 06:56:54.107355: Steps: 206000/2000000, FPS: 21.6, Time remaining: 23h 5m 40s
2025-04-03 06:57:40.991087: Steps: 207000/2000000, FPS: 21.6, Time remaining: 23h 4m 59s
2025-04-03 06:58:28.439617: Steps: 208000/2000000, FPS: 21.6, Time remaining: 23h 4m 22s
2025-04-03 06:59:16.036090: Steps: 209000/2000000, FPS: 21.6, Time remaining: 23h 3m 46s
2025-04-03 07:00:03.916182: Steps: 210000/2000000, FPS: 21.6, Time remaining: 23h 3m 13s
2025-04-03 07:00:50.720930: Steps: 211000/2000000, FPS: 21.6, Time remaining: 23h 2m 30s
2025-04-03 07:01:37.735735: Steps: 212000/2000000, FPS: 21.6, Time remaining: 23h 1m 49s
2025-04-03 07:02:24.346461: Steps: 213000/2000000, FPS: 21.6, Time remaining: 23h 1m 5s
2025-04-03 07:03:11.127204: Steps: 214000/2000000, FPS: 21.6, Time remaining: 23h 0m 22s
2025-04-03 07:03:57.777866: Steps: 215000/2000000, FPS: 21.6, Time remaining: 22h 59m 38s
2025-04-03 07:04:44.518058: Steps: 216000/2000000, FPS: 21.6, Time remaining: 22h 58m 55s
2025-04-03 07:05:31.353368: Steps: 217000/2000000, FPS: 21.6, Time remaining: 22h 58m 12s
2025-04-03 07:06:18.076554: Steps: 218000/2000000, FPS: 21.6, Time remaining: 22h 57m 28s
2025-04-03 07:07:04.952318: Steps: 219000/2000000, FPS: 21.6, Time remaining: 22h 56m 46s
2025-04-03 07:07:51.807059: Steps: 220000/2000000, FPS: 21.6, Time remaining: 22h 56m 3s
